112,7,853,717
48,24,441,202
7,4,277,180
33,50,197,150
5,8,83,58
10,6,250,110
56,1,394,176
1,13,113,83
15,111,271,272
14,18,148,107
5,8,91,59
29,18,157,86
1,1,300,179
9,1,152,103
4,15,94,63
12,16,117,71
1,5,160,89
46,84,661,428
86,81,371,252
26,32,677,418
50,127,587,396
6,9,124,89
52,25,751,507
3,23,132,98
60,76,593,393
21,18,492,316
11,31,490,266
8,3,135,86
30,65,331,199
5,14,93,58
125,645,1845,1421
20,48,385,283
51,73,570,426
79,469,1537,1198
18,18,328,190
13,235,2021,1253
6,20,123,88
26,25,283,157
61,98,458,376
111,213,907,683
178,214,901,658
9,14,490,368
28,48,663,302
4,9,96,88
6,7,94,68
14,16,268,169
10,18,89,61
111,54,365,190
9,33,479,276
9,3,93,41
15,10,128,76
11,60,796,535
92,93,585,399
5,9,87,61
8,5,85,69
70,94,439,341
87,6,552,348
28,14,118,80
11,8,106,80
53,108,544,413
31,12,270,160
4,13,145,109
8,12,135,83
11,16,135,93
28,117,415,274
45,39,729,414
3,3,639,480
18,30,133,93
24,141,721,396
31,20,226,119
17,23,240,135
6,20,137,73
111,177,920,642
32,69,487,316
2,7,102,57
26,62,763,504
46,115,623,469
25,123,589,421
20,79,654,425
5,14,160,114
62,73,718,441
5,4,136,87
67,98,283,213
40,60,354,237
12,18,113,78
26,72,774,480
24,1,368,199
2,13,160,120
11,13,84,60
434,441,1805,1126
104,183,842,608
7,133,716,444
8,29,444,213
150,102,877,444
139,416,1954,1149
2,24,288,129
115,63,817,324
84,189,573,376
13,256,769,532
30,16,430,215
32,32,438,394
16,115,445,269
34,53,270,139
179,177,753,452
68,93,440,317
139,172,690,431
60,166,614,425
8,37,294,150
36,40,261,174
130,10,839,346
23,134,619,349
45,22,745,514
10,34,242,126
18,63,445,267
56,95,627,368
73,163,674,401
97,49,455,326
45,68,426,253
20,16,449,300
38,92,420,241
18,141,603,367
108,147,675,434
85,43,731,324
208,97,909,447
24,55,588,405
27,82,618,400
97,7,888,336
24,38,427,277
30,11,269,196
51,51,441,289
186,151,459,347
56,114,638,448
12,33,292,171
2,104,300,203
32,96,565,362
29,55,279,177
14,98,536,299
73,84,516,306
42,103,451,277
41,161,449,337
76,111,580,458
51,90,460,247
129,32,861,602
13,82,691,432
13,165,583,417
28,27,397,217
214,492,1345,967
115,322,1085,674
129,213,899,614
11,87,470,268
37,30,292,190
85,245,713,472
30,35,619,350
29,75,271,168
13,35,250,153
10,24,254,158
10,86,614,383
36,116,868,587
57,236,881,569
147,125,471,426
18,84,478,307
47,100,605,371
131,124,537,329
33,115,576,346
108,201,706,429
48,41,511,237
83,93,686,425
37,77,582,342
25,55,277,150
13,115,787,440
55,95,563,320
52,46,487,247
60,91,588,373
8,80,250,184
47,154,598,369
26,49,477,288
189,174,800,542
147,202,1066,629
35,12,448,331
54,107,543,344
1,66,619,339
178,424,1828,1090
14,84,627,398
3,47,296,183
28,34,297,182
79,84,528,327
15,14,278,171
22,101,380,235
1,1,1484,900
51,57,590,402
71,192,594,465
283,298,1405,979
15,9,468,408
373,56,2663,1915
14,67,482,302
84,13,562,311
18,97,282,203
5,109,385,255
55,62,204,178
17,52,376,289
45,86,532,334
32,126,997,627
104,11,1997,1144
13,27,778,368
14,79,242,166
12,68,285,193
30,76,360,202
73,41,422,296
19,156,595,468
1,65,271,180
16,58,597,361
123,34,714,436
78,146,472,347
32,71,548,281
43,74,581,350
51,54,246,186
17,53,230,171
128,159,879,521
153,152,802,480
89,182,719,467
52,94,470,304
16,9,289,193
121,133,674,544
56,53,250,192
52,28,546,336
157,47,796,315
44,58,389,312
65,33,485,351
39,64,386,246
73,69,542,373
22,84,779,466
49,97,396,260
14,165,574,387
10,142,478,348
17,92,288,198
12,101,637,383
19,23,698,284
168,172,877,592
9,22,248,173
147,215,1468,786
24,341,1001,696
30,26,589,373
57,50,388,218
58,146,943,553
45,79,795,507
66,277,932,564
62,220,992,667
62,149,560,323
30,152,602,421
51,71,588,375
18,69,485,260
39,47,452,227
71,145,629,460
48,59,612,432
13,46,488,295
62,176,400,330
18,149,621,354
9,97,493,252
89,134,1194,699
23,94,402,269
29,444,1253,928
22,88,479,312
69,8,432,325
16,55,560,382
37,93,608,404
56,23,776,372
78,153,594,421
66,114,597,407
185,495,1497,964
39,29,470,286
33,182,617,386
107,261,893,610
5,36,623,357
73,86,441,306
42,170,591,389
2,50,617,488
14,135,605,445
31,75,480,308
69,83,544,372
63,106,435,329
58,85,532,433
28,127,477,302
16,29,782,330
9,2,792,404
23,120,573,340
118,46,474,301
34,118,555,380
29,42,593,394
15,35,443,272
18,27,625,436
20,157,432,309
30,56,418,301
32,26,475,213
29,33,624,331
21,41,786,297
42,133,681,447
55,262,994,602
49,268,988,702
21,34,472,309
68,166,1151,704
11,65,484,304
555,520,2755,1743
18,187,996,704
63,110,710,451
64,187,959,617
40,157,482,311
159,179,1320,780
26,129,586,334
19,151,630,404
32,74,613,368
145,337,1786,1027
21,160,488,301
114,124,923,587
10,80,468,320
69,105,412,280
29,122,1760,871
13,29,795,350
39,82,467,278
25,31,505,306
17,127,438,274
54,115,434,269
53,115,465,351
40,119,466,364
101,314,894,612
19,49,283,191
105,91,528,338
126,227,885,551
9,36,293,180
4,7,299,124
69,50,204,156
31,119,404,248
26,118,1009,541
57,35,222,144
26,37,241,166
22,83,415,322
27,9,270,128
25,56,450,316
172,393,1713,1063
142,124,675,445
39,89,457,334
20,216,562,391
93,101,404,274
34,53,270,139
45,62,247,190
115,507,2457,1658
33,67,404,283
20,7,239,174
52,35,246,174
7,74,292,200
5,25,271,177
68,48,235,162
15,58,246,139
20,45,252,153
35,79,271,185
32,49,363,222
24,38,246,172
50,162,640,425
36,185,990,629
118,78,599,419
38,29,380,177
37,67,237,168
19,63,307,170
11,8,270,160
8,37,294,150
13,30,285,182
281,141,1300,866
40,41,278,151
467,620,4238,2192
36,80,851,563
15,25,290,176
34,75,375,295
57,210,593,403
74,75,574,334
13,43,243,167
61,27,889,333
126,269,909,605
100,76,697,449
64,193,625,503
31,43,246,146
31,16,237,160
66,61,272,159
114,79,500,346
10,45,258,164
23,14,250,151
346,264,1155,800
83,95,353,280
31,7,893,347
62,98,274,205
42,68,337,195
166,139,611,353
85,581,1505,1043
91,214,955,604
12,21,393,290
53,99,420,245
7,13,208,134
25,221,702,453
56,80,594,365
14,88,404,264
10,8,294,120
47,64,270,176
7,15,147,105
78,187,959,560
52,53,748,487
21,42,227,159
181,51,427,232
89,128,515,361
58,72,763,529
131,42,500,349
36,103,544,310
10,34,627,322
90,189,1495,820
9,184,740,499
146,73,486,236
17,152,476,367
38,201,761,452
